GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone
310M300US10180,10180,"Abilene, TX Metro Area",60308,718,46473,1571,5.1,0.6,36415,5953,39766,680,57893,1700,41.5,1.2,51654,2039,58.5,1.2,62394,1947,74.0,1.5,69244,2056,19.3,1.2,28454,2674,6.7,0.8,41616,4823,20542,839,26356,1395,51.3,2.2,22551,1539,43.0,2.3,20730,1727,8.4,1.3,35759,9884,48.7,2.2,31214,2381,37.0,2.4,26356,2262,11.6,1.8,44464,7329
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",110149,1329,15564,450,15.2,0.7,15252,1221,79593,1553,18666,632,36.4,1.1,16575,1000,63.6,1.1,19642,728,62.3,1.2,23843,916,28.4,1.1,10471,713,9.2,0.7,13907,1420,30556,1133,9208,395,55.0,1.4,8534,476,49.7,1.5,7987,451,5.3,0.9,20335,2823,45.0,1.4,10196,799,38.3,1.5,9576,629,6.7,0.8,15152,2780
310M300US10420,10420,"Akron, OH Metro Area",283472,1265,51749,519,0.2,0.1,41250,17225,177936,1897,67310,951,40.6,0.6,64153,1503,59.4,0.6,68764,1068,73.0,0.6,81663,1266,20.1,0.6,29695,1128,6.9,0.5,45949,4468,105536,1829,30454,569,52.7,0.9,26291,603,44.9,0.9,24227,668,7.7,0.7,48178,2566,47.3,0.9,36208,1031,37.4,0.8,31876,787,9.9,0.6,55151,3635
310M300US10500,10500,"Albany, GA Metro Area",57795,837,38674,1173,0.5,0.2,42720,34698,38513,869,46874,1517,42.0,1.5,39317,3076,58.0,1.5,53357,2254,61.1,1.2,66351,3290,31.8,1.3,22362,1500,7.1,1.0,35640,2923,19282,728,24652,1307,54.7,2.2,21450,1552,49.3,2.1,20140,1504,5.4,1.1,39563,7929,45.3,2.2,30389,2092,38.4,2.2,28146,3009,7.0,1.3,41166,9891
310M300US10540,10540,"Albany, OR Metro Area",45378,551,46782,1603,1.0,0.3,55455,33726,30829,679,57190,1961,41.3,1.6,50962,3543,58.7,1.6,60460,1833,76.5,2.0,65811,2164,16.6,1.6,26373,1514,6.9,1.1,40478,7897,14549,721,26362,1134,53.8,2.7,23781,1634,43.4,2.7,19866,2328,10.4,2.2,51285,8158,46.2,2.7,30414,2795,34.5,2.5,25884,1548,11.7,2.2,44264,2949
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",345957,1652,63758,626,1.0,0.1,42819,12183,208303,1728,83459,1105,40.6,0.6,83018,1758,59.4,0.6,83719,1429,75.8,0.6,97707,1016,17.5,0.6,40523,1339,6.7,0.4,55196,3147,137654,1752,38613,834,53.6,0.7,33457,1097,44.8,0.8,30369,651,8.8,0.5,62238,3372,46.4,0.7,43690,1651,35.4,0.7,39028,1453,11.0,0.5,69479,3997
310M300US10740,10740,"Albuquerque, NM Metro Area",343268,1780,49711,763,11.1,0.4,36165,1359,216816,2273,61263,918,43.9,0.6,52100,1637,56.1,0.6,67379,1494,69.5,0.7,75832,1479,21.6,0.6,30458,1016,8.9,0.5,43833,3583,126452,2184,31532,653,52.9,0.8,28973,882,44.9,0.9,25914,775,8.1,0.6,51667,2571,47.1,0.8,35051,1411,37.2,0.9,30619,1092,9.9,0.6,57145,5334
310M300US10780,10780,"Alexandria, LA Metro Area",55440,682,41836,1303,0.2,0.1,54479,23410,37397,701,52341,1914,43.2,1.4,46013,3579,56.8,1.4,55492,1894,67.0,1.3,69459,2579,25.0,1.1,25461,1725,7.9,1.2,36607,4304,18043,613,23917,1554,53.8,2.4,20374,1456,48.2,2.2,19481,1317,5.6,1.2,29186,14824,46.2,2.4,30249,2348,38.8,2.4,27910,3334,7.4,1.2,40509,7178
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",315449,1411,60441,592,3.4,0.2,38289,3203,214074,1786,73668,768,41.1,0.6,73384,1544,58.9,0.6,73832,917,75.5,0.6,86884,1112,17.7,0.5,35463,1084,6.7,0.4,48706,3269,101375,1576,35493,787,53.3,0.8,29325,1098,45.2,0.9,25617,740,8.1,0.6,60648,2697,46.7,0.8,42607,1464,35.7,0.9,37283,1599,11.0,0.6,67401,2528
